taxid	scientific_name	domain
31530		Viruses
31531		Viruses
31544		Viruses
31545		Viruses
31546		Viruses
31547		Viruses
31548		Viruses
31551		Viruses
31552		Viruses
31553		Viruses
31554		Viruses
31555		Viruses
31556		Viruses
31557		Viruses
31558		Viruses
31559		Viruses
31560		Viruses
31562		Viruses
31563		Viruses
31564		Viruses
31565		Viruses
31566		Viruses
31567		Viruses
31568		Viruses
31569		Viruses
31570		Viruses
31571		Viruses
31574		Viruses
31577		Viruses
31578		Viruses
31579		Viruses
31580		Viruses
31581		Viruses
31583		Viruses
31587		Viruses
31588		Viruses
31589		Viruses
31590		Viruses
31591		Viruses
31592		Viruses
31593		Viruses
31595		Viruses
31598		Viruses
31599		Viruses
31600		Viruses
31602		Viruses
31603		Viruses
31605		Viruses
31606		Viruses
31607		Viruses
31608		Viruses
31609		Viruses
31610		Viruses
31611		Viruses
31612		Viruses
31613		Viruses
31614		Viruses
31615		Viruses
31616		Viruses
31617		Viruses
31618		Viruses
31619		Viruses
31620		Viruses
31621		Viruses
31622		Viruses
31623		Viruses
31624		Viruses
31625		Viruses
31626		Viruses
31627		Viruses
31628		Viruses
31629		Viruses
31630		Viruses
31631		Viruses
31632		Viruses
31634		Viruses
31635		Viruses
31636		Viruses
31637		Viruses
31638		Viruses
31639		Viruses
31640		Viruses
31641		Viruses
31642		Viruses
31643		Viruses
31644		Viruses
31645		Viruses
31647		Viruses
31648		Viruses
31649		Viruses
31650		Viruses
31651		Viruses
31653		Viruses
31654		Viruses
31655		Viruses
31656		Viruses
31657		Viruses
31658		Viruses
31660		Viruses
31662		Viruses
31663		Viruses
31667		Viruses
31668		Viruses
31669		Viruses
31670		Viruses
31671		Viruses
31673		Viruses
31674		Viruses
31675		Viruses
31676		Viruses
31678		Viruses
31681		Viruses
31682		Viruses
31683		Viruses
31684		Viruses
31687		Viruses
31688		Viruses
31689		Viruses
31691		Viruses
31692		Viruses
31694		Viruses
31695		Viruses
31696		Viruses
31699		Viruses
31702		Viruses
31704		Viruses
31705		Viruses
31706		Viruses
31707		Viruses
31708		Viruses
31709		Viruses
31710		Viruses
31711		Viruses
31712		Viruses
31713		Viruses
31715		Viruses
31716		Viruses
31717		Viruses
31718		Viruses
31719		Viruses
31721		Viruses
31722		Viruses
31724		Viruses
31725		Viruses
31726		Viruses
31728		Viruses
31729		Viruses
31730		Viruses
31731		Viruses
31732		Viruses
31733		Viruses
31734		Viruses
31735		Viruses
31736		Viruses
31737		Viruses
31738		Viruses
31739		Viruses
31741		Viruses
31742		Viruses
31743		Viruses
31744		Viruses
31745		Viruses
31746		Viruses
31747		Viruses
31748		Viruses
31749		Viruses
31750		Viruses
31751		Viruses
31761		Viruses
31762		Viruses
31763		Viruses
31764		Viruses
31766		Viruses
31767		Viruses
31768		Viruses
31769		Viruses
31770		Viruses
31771		Viruses
31915		Viruses
31917		Viruses
31920		Viruses
31931		Viruses
32603		Viruses
32604		Viruses
32605		Viruses
32606		Viruses
32608		Viruses
32610		Viruses
32611		Viruses
32612		Viruses
32613		Viruses
32614		Viruses
32615		Viruses
32616		Viruses
32617		Viruses
32618		Viruses
32619		Viruses
32620		Viruses
32621		Viruses
32622		Viruses
32623		Viruses
32624		Viruses
32625		Viruses
32627		Viruses
32629		Viruses
33702		Viruses
33703		Viruses
33705		Viruses
33706		Viruses
33707		Viruses
33708		Viruses
33714		Viruses
33716		Viruses
